,time,price
345,2018-01-04 10:57:30,46.87
346,2018-01-04 10:57:40,46.825
350,2018-01-04 10:58:20,46.8692
355,2018-01-04 10:59:10,46.9588
358,2018-01-04 10:59:40,46.82
362,2018-01-04 11:00:20,46.44
365,2018-01-04 11:00:50,46.89
366,2018-01-04 11:01:00,46.855
370,2018-01-04 11:01:40,46.43
371,2018-01-04 11:01:50,46.845
372,2018-01-04 11:02:00,46.44
375,2018-01-04 11:02:30,46.81
377,2018-01-04 11:02:50,46.74
378,2018-01-04 11:03:00,46.72
379,2018-01-04 11:03:10,46.72
380,2018-01-04 11:03:20,46.74
381,2018-01-04 11:03:30,46.76
382,2018-01-04 11:03:40,46.82
384,2018-01-04 11:04:00,46.84
389,2018-01-04 11:04:50,46.36
393,2018-01-04 11:05:30,46.35
394,2018-01-04 11:05:40,46.33
395,2018-01-04 11:05:50,46.36
396,2018-01-04 11:06:00,46.84
397,2018-01-04 11:06:10,46.88
399,2018-01-04 11:06:30,46.32
400,2018-01-04 11:06:40,46.83
401,2018-01-04 11:06:50,46.83
402,2018-01-04 11:07:00,46.83
403,2018-01-04 11:07:10,46.81
404,2018-01-04 11:07:20,46.32
405,2018-01-04 11:07:30,46.32
406,2018-01-04 11:07:40,46.83
408,2018-01-04 11:08:00,46.3
409,2018-01-04 11:08:10,46.33
410,2018-01-04 11:08:20,46.77
411,2018-01-04 11:08:30,46.81
412,2018-01-04 11:08:40,46.31
414,2018-01-04 11:09:00,46.78
415,2018-01-04 11:09:10,46.78
417,2018-01-04 11:09:30,46.31
418,2018-01-04 11:09:40,46.3
419,2018-01-04 11:09:50,46.29
420,2018-01-04 11:10:00,46.23
421,2018-01-04 11:10:10,46.76
425,2018-01-04 11:10:50,46.77
426,2018-01-04 11:11:00,46.26
428,2018-01-04 11:11:20,46.75
431,2018-01-04 11:11:50,46.786
433,2018-01-04 11:12:10,46.715
434,2018-01-04 11:12:20,46.23
440,2018-01-04 11:13:20,46.76
441,2018-01-04 11:13:30,46.29
443,2018-01-04 11:13:50,46.3
444,2018-01-04 11:14:00,46.34
446,2018-01-04 11:14:20,46.71
447,2018-01-04 11:14:30,46.27
448,2018-01-04 11:14:40,46.7101
450,2018-01-04 11:15:00,46.75
452,2018-01-04 11:15:20,46.65
455,2018-01-04 11:15:50,46.32
458,2018-01-04 11:16:20,46.65
462,2018-01-04 11:17:00,46.37
466,2018-01-04 11:17:40,46.6501
468,2018-01-04 11:18:00,46.37
471,2018-01-04 11:18:30,46.69
472,2018-01-04 11:18:40,46.6543
473,2018-01-04 11:18:50,46.7
475,2018-01-04 11:19:10,46.32
477,2018-01-04 11:19:30,46.6701
479,2018-01-04 11:19:50,46.28
480,2018-01-04 11:20:00,46.74
481,2018-01-04 11:20:10,46.28
482,2018-01-04 11:20:20,46.74
483,2018-01-04 11:20:30,46.78
487,2018-01-04 11:21:10,46.26
488,2018-01-04 11:21:20,46.7
492,2018-01-04 11:22:00,46.17
494,2018-01-04 11:22:20,46.23
496,2018-01-04 11:22:40,46.7
497,2018-01-04 11:22:50,46.3
498,2018-01-04 11:23:00,46.34
499,2018-01-04 11:23:10,46.76
500,2018-01-04 11:23:20,46.33
501,2018-01-04 11:23:30,46.718
502,2018-01-04 11:23:40,46.38
506,2018-01-04 11:24:20,46.295
508,2018-01-04 11:24:40,46.71
509,2018-01-04 11:24:50,46.75
510,2018-01-04 11:25:00,46.6801
511,2018-01-04 11:25:10,46.47
512,2018-01-04 11:25:20,46.73
513,2018-01-04 11:25:30,46.74
514,2018-01-04 11:25:40,46.75
517,2018-01-04 11:26:10,46.24
519,2018-01-04 11:26:30,46.2925
522,2018-01-04 11:27:00,46.33
523,2018-01-04 11:27:10,46.37
525,2018-01-04 11:27:30,46.4
530,2018-01-04 11:28:20,46.375
533,2018-01-04 11:28:50,46.74
535,2018-01-04 11:29:10,46.23
537,2018-01-04 11:29:30,46.34
540,2018-01-04 11:30:00,46.715
546,2018-01-04 11:31:00,46.7
